Model ; X100+Option
Layout Type ; 0
Data Offset ; 23
Date ; 2019-08-06
Time ; 11:29:43

Time Base ; 5 ms/div
Sensitivity ; 100 uV/div
Pan ; 0 ms
Curve no ; 1-10
Common BaseLine ; Off
Lower Frequency Limit ; 1 Hz
Upper Frequency Limit ; 1 kHz
Trigger Mode ; Stimulus

Curve no ; 1 ; 2 ; 3 ; 4 ; 5 ; 6 ; 7 ; 8 ; 9 ; 10
9250 ; 0 ; -5 ; -35 ; 10 ; -10 ; -250 ; -15 ; -10 ; 5 ; -15
9375 ; -5 ; -5 ; -35 ; 10 ; -5 ; -250 ; -15 ; -10 ; 5 ; -10
9500 ; -5 ; -5 ; -35 ; 10 ; -5 ; -250 ; -15 ; -10 ; 5 ; -10
9625 ; 0 ; -5 ; -35 ; 10 ; -5 ; -255 ; -15 ; -5 ; 5 ; -10
9750 ; -5 ; -5 ; -35 ; 10 ; -5 ; -255 ; -15 ; -5 ; 5 ; -15
9875 ; -5 ; -10 ; -35 ; 10 ; -5 ; -255 ; -15 ; -5 ; 5 ; -15
10000 ; -5 ; -10 ; -35 ; 10 ; -5 ; -255 ; -15 ; -5 ; 10 ; -15
10125 ; 0 ; -5 ; -35 ; 10 ; -5 ; -255 ; -15 ; -5 ; 10 ; -15
10250 ; -5 ; -5 ; -35 ; 10 ; 0 ; -255 ; -15 ; -5 ; 5 ; -15
10375 ; 0 ; -5 ; -35 ; 10 ; -5 ; -255 ; -15 ; -5 ; 10 ; -10
10500 ; -5 ; -5 ; -35 ; 10 ; 0 ; -255 ; -15 ; -5 ; 10 ; -15
10625 ; 0 ; -5 ; -35 ; 10 ; 0 ; -255 ; -15 ; -5 ; 5 ; -15
10750 ; -5 ; -5 ; -35 ; 10 ; -5 ; -255 ; -15 ; -5 ; 10 ; -15
10875 ; 0 ; -5 ; -30 ; 10 ; 0 ; -255 ; -15 ; -5 ; 10 ; -10
11000 ; 0 ; -5 ; -30 ; 10 ; 0 ; -255 ; -15 ; -5 ; 10 ; -10
11125 ; 0 ; -5 ; -35 ; 10 ; 0 ; -255 ; -15 ; -5 ; 10 ; -5
11250 ; -5 ; 0 ; -35 ; 10 ; -5 ; -255 ; -15 ; -5 ; 10 ; -5
11375 ; 0 ; 0 ; -35 ; 10 ; -5 ; -255 ; -15 ; -5 ; 10 ; -5
11500 ; -5 ; 0 ; -35 ; 15 ; -5 ; -255 ; -15 ; -5 ; 10 ; 0
11625 ; 0 ; 0 ; -35 ; 10 ; 0 ; -255 ; -15 ; 0 ; 10 ; 5
