Model ; X100+Option
Layout Type ; 0
Data Offset ; 23
Date ; 2019-07-09
Time ; 17:22:13

Time Base ; 5 ms/div
Sensitivity ; 50 uV/div
Pan ; 0 ms
Curve no ; 1-5
Common BaseLine ; Off
Lower Frequency Limit ; 100 Hz
Upper Frequency Limit ; 5 kHz
Trigger Mode ; Stimulus

Curve no ; 1 ; 2 ; 3 ; 4 ; 5
22250 ; 10 ; 0 ; -20 ; 0 ; -10
22375 ; 15 ; -5 ; -15 ; -5 ; -5
22500 ; 10 ; -5 ; -25 ; -10 ; 0
22625 ; 10 ; 5 ; -25 ; -10 ; -10
22750 ; 15 ; 5 ; -35 ; -15 ; -15
22875 ; 15 ; -10 ; -65 ; -15 ; 0
23000 ; 15 ; -5 ; -85 ; -15 ; -5
23125 ; 5 ; 0 ; -100 ; -10 ; -5
23250 ; 10 ; 0 ; -135 ; -5 ; -5
23375 ; 20 ; -5 ; -155 ; -15 ; -10
23500 ; 20 ; 0 ; -175 ; -15 ; -10
23625 ; 15 ; -5 ; -195 ; -10 ; -5
23750 ; 20 ; -5 ; -210 ; -25 ; -5
23875 ; 10 ; -5 ; -225 ; -35 ; 0
24000 ; 15 ; 0 ; -240 ; -35 ; 0
24125 ; 10 ; 0 ; -250 ; -50 ; 5
24250 ; 15 ; -5 ; -270 ; -60 ; 5
24375 ; 10 ; 0 ; -285 ; -70 ; -5
24500 ; 5 ; 0 ; -300 ; -80 ; 0
24625 ; 15 ; -5 ; -305 ; -85 ; 5
24750 ; 10 ; -5 ; -320 ; -90 ; 0
24875 ; 5 ; 0 ; -320 ; -90 ; 5
25000 ; 5 ; -5 ; -320 ; -85 ; 5
25125 ; 5 ; -5 ; -320 ; -90 ; 0
25250 ; 5 ; -5 ; -315 ; -75 ; 10
25375 ; 5 ; 0 ; -290 ; -65 ; 10
25500 ; 0 ; 5 ; -270 ; -70 ; 5
25625 ; -5 ; 0 ; -250 ; -65 ; 5
25750 ; -5 ; 5 ; -230 ; -55 ; -5
25875 ; -10 ; 0 ; -215 ; -55 ; -5
26000 ; -10 ; -5 ; -195 ; -50 ; -15
26125 ; -15 ; 5 ; -185 ; -60 ; -25
26250 ; -15 ; 5 ; -170 ; -60 ; -20
26375 ; -10 ; 5 ; -155 ; -60 ; -15
26500 ; -5 ; 10 ; -145 ; -80 ; -25
26625 ; -20 ; 10 ; -135 ; -80 ; -25
26750 ; -10 ; 5 ; -125 ; -85 ; -30
26875 ; -10 ; 5 ; -115 ; -110 ; -40
27000 ; -15 ; 5 ; -105 ; -120 ; -40
27125 ; -5 ; 5 ; -100 ; -130 ; -45
27250 ; -10 ; 0 ; -90 ; -130 ; -50
27375 ; -10 ; 10 ; -85 ; -120 ; -50
27500 ; -10 ; 10 ; -80 ; -120 ; -50
27625 ; -10 ; 0 ; -70 ; -125 ; -40
27750 ; -5 ; 0 ; -65 ; -110 ; -35
27875 ; -10 ; 10 ; -60 ; -90 ; -45
28000 ; -15 ; 5 ; -55 ; -70 ; -45
28125 ; -10 ; 0 ; -55 ; -75 ; -45
28250 ; -5 ; 5 ; -50 ; -80 ; -55
28375 ; -10 ; 0 ; -45 ; -80 ; -50
28500 ; -5 ; 5 ; -40 ; -85 ; -60
28625 ; -10 ; 5 ; -40 ; -90 ; -70
28750 ; -10 ; 10 ; -35 ; -75 ; -80
28875 ; -10 ; 5 ; -35 ; -65 ; -90
29000 ; -10 ; 0 ; -30 ; -55 ; -80
29125 ; -10 ; 5 ; -30 ; -50 ; -75
29250 ; -10 ; 10 ; -25 ; -50 ; -50
29375 ; -10 ; 0 ; -25 ; -65 ; -20
29500 ; -5 ; 5 ; -25 ; -70 ; 0
29625 ; -15 ; 5 ; -20 ; -75 ; 5
29750 ; -10 ; 5 ; -20 ; -65 ; 20
29875 ; -5 ; 5 ; -20 ; -70 ; 25
30000 ; -5 ; 5 ; -15 ; -80 ; 15
30125 ; -10 ; 5 ; -15 ; -75 ; 15
30250 ; -10 ; 5 ; -15 ; -75 ; 0
30375 ; -10 ; 0 ; -15 ; -60 ; -5
30500 ; -10 ; 10 ; -15 ; -35 ; -25
30625 ; -5 ; 10 ; -10 ; -15 ; -50
30750 ; -5 ; 0 ; -10 ; 10 ; -70
30875 ; -5 ; -5 ; -10 ; 20 ; -80
31000 ; -15 ; 5 ; -5 ; 35 ; -95
31125 ; -10 ; 0 ; 30 ; 65 ; -100
31250 ; 0 ; 10 ; 95 ; 75 ; -100
31375 ; 0 ; 5 ; 205 ; 100 ; -100
31500 ; -5 ; 5 ; 317 ; 130 ; -80
31625 ; -10 ; 10 ; 317 ; 165 ; -75
31750 ; -10 ; 5 ; 317 ; 185 ; -60
31875 ; -5 ; 10 ; 317 ; 210 ; -35
32000 ; -10 ; 0 ; 317 ; 230 ; -10
32125 ; -10 ; -5 ; 317 ; 240 ; 35
32250 ; -10 ; 0 ; 317 ; 255 ; 75
32375 ; -20 ; 0 ; 317 ; 260 ; 120
32500 ; -5 ; 0 ; 317 ; 280 ; 155
32625 ; 0 ; 0 ; 317 ; 295 ; 195
32750 ; -10 ; 0 ; 317 ; 300 ; 210
32875 ; -15 ; 0 ; 317 ; 310 ; 225
33000 ; -5 ; 5 ; 317 ; 295 ; 235
33125 ; -15 ; -5 ; 317 ; 285 ; 240
33250 ; -15 ; -5 ; 317 ; 270 ; 240
33375 ; -10 ; -5 ; 317 ; 245 ; 230
33500 ; -10 ; -5 ; 300 ; 215 ; 220
33625 ; -15 ; 0 ; 275 ; 195 ; 200
33750 ; -20 ; -10 ; 250 ; 160 ; 170
33875 ; -15 ; -15 ; 215 ; 135 ; 140
34000 ; -15 ; -5 ; 175 ; 115 ; 100
34125 ; -15 ; -5 ; 125 ; 85 ; 70
34250 ; -5 ; -15 ; 75 ; 65 ; 55
34375 ; -5 ; -5 ; 25 ; 45 ; 35
34500 ; -15 ; -10 ; -10 ; 25 ; 25
34625 ; -15 ; -5 ; -55 ; 10 ; 15
34750 ; -15 ; -5 ; -85 ; -20 ; 10
34875 ; -20 ; -5 ; -105 ; -25 ; -5
35000 ; -15 ; 0 ; -115 ; -25 ; -15
35125 ; -20 ; -5 ; -120 ; -40 ; -20
35250 ; -20 ; -5 ; -120 ; -40 ; -30
35375 ; -10 ; 0 ; -130 ; -40 ; -40
35500 ; -15 ; -5 ; -125 ; -40 ; -35
35625 ; -15 ; -15 ; -120 ; -30 ; -35
35750 ; -15 ; 0 ; -110 ; -35 ; -40
35875 ; -20 ; 0 ; -100 ; -25 ; -40
36000 ; -10 ; -10 ; -100 ; -25 ; -40
36125 ; -15 ; -5 ; -85 ; -25 ; -40
36250 ; -25 ; -5 ; -80 ; -20 ; -40
36375 ; -15 ; -5 ; -65 ; -20 ; -45
36500 ; -20 ; -10 ; -65 ; -30 ; -40
36625 ; -20 ; -10 ; -55 ; -25 ; -40
36750 ; -15 ; -5 ; -55 ; -20 ; -45
36875 ; -20 ; -10 ; -50 ; -25 ; -30
37000 ; -15 ; -5 ; -50 ; -20 ; -30
37125 ; -20 ; 0 ; -50 ; -20 ; -35
37250 ; -20 ; -10 ; -50 ; -25 ; -30
37375 ; -15 ; -15 ; -55 ; -30 ; -25
37500 ; -20 ; 0 ; -55 ; -25 ; -30
37625 ; -20 ; -10 ; -50 ; -25 ; -20
37750 ; -5 ; -5 ; -65 ; -25 ; -20
37875 ; -20 ; -5 ; -70 ; -20 ; -15
38000 ; -15 ; -5 ; -55 ; -15 ; -10
38125 ; -10 ; -5 ; -60 ; -10 ; -15
38250 ; -25 ; -5 ; -65 ; -20 ; -10
38375 ; -20 ; -10 ; -60 ; -10 ; -5
38500 ; -15 ; -5 ; -65 ; -10 ; -10
38625 ; -20 ; -15 ; -60 ; -5 ; 0
38750 ; -20 ; -15 ; -65 ; 0 ; -10
38875 ; -20 ; -5 ; -55 ; 0 ; -5
39000 ; -15 ; -15 ; -45 ; 0 ; 5
39125 ; -15 ; -15 ; -50 ; -10 ; 0
39250 ; -20 ; -5 ; -35 ; -15 ; 0
39375 ; -15 ; -5 ; -35 ; -15 ; 0
39500 ; -15 ; -5 ; -35 ; -25 ; -10
39625 ; -20 ; -10 ; -35 ; -25 ; -15
39750 ; -15 ; -10 ; -30 ; -15 ; -20
39875 ; -20 ; -10 ; -40 ; -20 ; -25
40000 ; -15 ; -10 ; -35 ; -15 ; -20
40125 ; -15 ; -5 ; -40 ; -15 ; -20
40250 ; -15 ; -10 ; -40 ; -15 ; -20
40375 ; -20 ; -10 ; -40 ; -15 ; -15
40500 ; -15 ; -5 ; -35 ; -15 ; -25
40625 ; -20 ; 0 ; -30 ; -10 ; -25
40750 ; -15 ; -10 ; -35 ; -10 ; -10
40875 ; -15 ; 0 ; -40 ; -15 ; -10
41000 ; -20 ; -5 ; -30 ; -5 ; -15
41125 ; -15 ; -10 ; -35 ; 0 ; -15
41250 ; -25 ; -5 ; -35 ; -15 ; -15
41375 ; -25 ; -10 ; -30 ; -10 ; -20
41500 ; -25 ; -10 ; -30 ; -15 ; -20
41625 ; -25 ; -15 ; -25 ; -15 ; -20
41750 ; -15 ; -15 ; -30 ; -10 ; -20
41875 ; -15 ; 0 ; -30 ; -10 ; -30
42000 ; -15 ; -10 ; -30 ; -5 ; -20
42125 ; -10 ; -10 ; -35 ; -10 ; -10
42250 ; -15 ; 5 ; -25 ; -15 ; -20
42375 ; -15 ; 0 ; -25 ; -10 ; -20
42500 ; -10 ; 0 ; -30 ; -15 ; -10
42625 ; -15 ; 5 ; -30 ; -15 ; -10
42750 ; -20 ; 0 ; -25 ; -5 ; -5
42875 ; -15 ; 0 ; -25 ; -10 ; -10
43000 ; -20 ; 0 ; -30 ; -20 ; -10
43125 ; -10 ; 0 ; -35 ; -15 ; -10
43250 ; -10 ; 0 ; -35 ; -10 ; -15
43375 ; -15 ; 0 ; -30 ; -10 ; -15
43500 ; -15 ; 0 ; -30 ; -10 ; -10
43625 ; -15 ; 5 ; -25 ; -10 ; -15
43750 ; -10 ; 0 ; -25 ; -10 ; -10
43875 ; -10 ; -5 ; -35 ; -15 ; -5
44000 ; -10 ; 5 ; -25 ; -10 ; -15
44125 ; -20 ; -5 ; -25 ; -5 ; -10
44250 ; -15 ; 0 ; -35 ; -15 ; -5
44375 ; -20 ; 5 ; -30 ; -20 ; -5
44500 ; -15 ; 0 ; -25 ; -10 ; -5
44625 ; -15 ; 0 ; -30 ; -10 ; -10
44750 ; -15 ; -5 ; -20 ; -15 ; -15
44875 ; -10 ; 0 ; -25 ; -10 ; -10
45000 ; -10 ; 0 ; -20 ; -15 ; -5
45125 ; -10 ; 0 ; -25 ; -10 ; -5
45250 ; -10 ; 5 ; -25 ; -10 ; 0
45375 ; -15 ; 5 ; -15 ; -10 ; -5
45500 ; -5 ; 5 ; -30 ; -10 ; 0
45625 ; -5 ; 5 ; -25 ; -15 ; 0
45750 ; -15 ; 5 ; -20 ; -10 ; -10
45875 ; -10 ; 5 ; -25 ; -10 ; -5
46000 ; 0 ; 15 ; -30 ; -20 ; 0
46125 ; -10 ; 5 ; -25 ; -20 ; -5
46250 ; -5 ; 5 ; -30 ; -15 ; 0
46375 ; -5 ; 5 ; -30 ; -10 ; 0
46500 ; 0 ; 5 ; -30 ; -10 ; 5
46625 ; 0 ; 10 ; -30 ; -10 ; 0
46750 ; -5 ; 5 ; -20 ; -10 ; -5
46875 ; 0 ; 0 ; -20 ; -10 ; 0
47000 ; -5 ; 10 ; -20 ; -10 ; -5
47125 ; -10 ; 10 ; -15 ; -5 ; 0
47250 ; -5 ; -5 ; -25 ; -10 ; 5
47375 ; 0 ; 0 ; -20 ; -15 ; 5
47500 ; -10 ; 0 ; -10 ; -10 ; 5
47625 ; -5 ; 0 ; -15 ; -5 ; 5
47750 ; 0 ; 5 ; -15 ; -15 ; -5
47875 ; -10 ; 0 ; -20 ; -5 ; 5
48000 ; -5 ; 0 ; -20 ; -5 ; 0
48125 ; -5 ; 0 ; -20 ; -10 ; -5
48250 ; -5 ; 5 ; -20 ; -5 ; 0
48375 ; 0 ; 5 ; -20 ; -15 ; 0
48500 ; -5 ; 5 ; -15 ; -15 ; 10
48625 ; 0 ; 5 ; -20 ; -15 ; 10
48750 ; -5 ; 15 ; -20 ; -20 ; 0
48875 ; 0 ; 15 ; -10 ; -15 ; 0
49000 ; 5 ; 0 ; -20 ; -20 ; 10
49125 ; 0 ; 10 ; -20 ; -20 ; 0
49250 ; -5 ; -5 ; -15 ; -5 ; 10
49375 ; 0 ; -5 ; -20 ; 0 ; 5
49500 ; 5 ; 0 ; -25 ; 0 ; 5
49625 ; -5 ; 0 ; -15 ; -5 ; 5
49750 ; 5 ; 0 ; -15 ; -10 ; 5
49875 ; -5 ; 0 ; -10 ; -10 ; 10
