Model ; X100+Option
Layout Type ; 0
Data Offset ; 23
Date ; 2019-07-18
Time ; 15:45:00

Time Base ; 5 ms/div
Sensitivity ; 100 uV/div
Pan ; 0 ms
Curve no ; 1-5
Common BaseLine ; Off
Lower Frequency Limit ; 100 Hz
Upper Frequency Limit ; 5 kHz
Trigger Mode ; Stimulus

Curve no ; 1 ; 2 ; 3 ; 4 ; 5
29250 ; 85 ; 30 ; 110 ; 40 ; 245
29375 ; 95 ; 30 ; 120 ; 40 ; 335
29500 ; 105 ; 35 ; 125 ; 45 ; 425
29625 ; 115 ; 45 ; 145 ; 50 ; 480
29750 ; 125 ; 50 ; 140 ; 45 ; 515
29875 ; 145 ; 45 ; 145 ; 50 ; 525
30000 ; 160 ; 45 ; 155 ; 45 ; 535
30125 ; 180 ; 40 ; 155 ; 40 ; 535
30250 ; 195 ; 40 ; 155 ; 30 ; 530
30375 ; 185 ; 35 ; 155 ; 25 ; 525
30500 ; 185 ; 45 ; 135 ; 20 ; 515
30625 ; 175 ; 35 ; 135 ; 10 ; 495
30750 ; 150 ; 30 ; 130 ; 20 ; 480
30875 ; 135 ; 30 ; 120 ; 10 ; 455
31000 ; 120 ; 15 ; 120 ; 0 ; 425
31125 ; 105 ; 15 ; 115 ; 5 ; 385
31250 ; 85 ; 10 ; 110 ; -10 ; 360
31375 ; 65 ; 0 ; 90 ; -15 ; 350
31500 ; 60 ; 0 ; 80 ; -20 ; 335
31625 ; 45 ; -5 ; 75 ; -20 ; 310
31750 ; 40 ; -5 ; 60 ; -20 ; 295
31875 ; 35 ; -10 ; 60 ; -25 ; 270
32000 ; 20 ; -10 ; 55 ; -20 ; 245
32125 ; 10 ; -10 ; 35 ; -30 ; 220
32250 ; 0 ; -20 ; 30 ; -30 ; 190
32375 ; -15 ; -15 ; 25 ; -25 ; 150
32500 ; -30 ; -15 ; 15 ; -30 ; 105
32625 ; -35 ; -25 ; -5 ; -30 ; 80
32750 ; -40 ; -15 ; -10 ; -30 ; 50
32875 ; -50 ; -15 ; -20 ; -30 ; 25
33000 ; -55 ; -20 ; -35 ; -30 ; 10
33125 ; -50 ; -20 ; -35 ; -25 ; -10
33250 ; -60 ; -20 ; -35 ; -15 ; -30
33375 ; -60 ; -20 ; -45 ; -20 ; -50
33500 ; -55 ; -25 ; -40 ; -20 ; -65
33625 ; -65 ; -15 ; -45 ; -15 ; -65
33750 ; -65 ; -15 ; -45 ; -25 ; -75
33875 ; -65 ; -15 ; -45 ; -15 ; -75
34000 ; -55 ; -5 ; -50 ; -15 ; -70
34125 ; -60 ; -10 ; -50 ; -20 ; -80
34250 ; -55 ; -10 ; -55 ; -15 ; -80
34375 ; -50 ; -5 ; -50 ; -10 ; -85
34500 ; -55 ; -10 ; -50 ; -10 ; -80
34625 ; -45 ; -10 ; -50 ; -10 ; -85
34750 ; -40 ; -15 ; -40 ; -10 ; -85
34875 ; -40 ; -10 ; -40 ; -10 ; -85
35000 ; -30 ; -15 ; -40 ; -15 ; -90
35125 ; -30 ; -10 ; -35 ; -10 ; -90
35250 ; -25 ; -10 ; -30 ; -10 ; -95
35375 ; -20 ; -10 ; -30 ; -15 ; -100
35500 ; -15 ; -10 ; -35 ; -5 ; -95
35625 ; -15 ; -5 ; -25 ; -10 ; -90
35750 ; -20 ; -15 ; -30 ; -10 ; -80
35875 ; -15 ; -10 ; -30 ; -5 ; -80
36000 ; -20 ; -5 ; -15 ; -5 ; -70
36125 ; -20 ; -10 ; -20 ; -10 ; -60
36250 ; -15 ; -5 ; -20 ; -5 ; -65
36375 ; -15 ; -5 ; -15 ; -5 ; -60
36500 ; -15 ; -5 ; -20 ; -10 ; -50
36625 ; -10 ; -5 ; -20 ; -5 ; -55
36750 ; -10 ; -5 ; -10 ; 5 ; -50
36875 ; -15 ; 0 ; -15 ; -5 ; -45
37000 ; -15 ; -10 ; -15 ; -5 ; -35
37125 ; -5 ; 0 ; -10 ; 0 ; -40
37250 ; -10 ; 0 ; -5 ; -5 ; -40
37375 ; -10 ; -10 ; -10 ; 0 ; -35
37500 ; 0 ; 0 ; -5 ; 0 ; -40
37625 ; -5 ; 0 ; 0 ; -5 ; -35
37750 ; -5 ; 0 ; -10 ; -5 ; -35
37875 ; 5 ; 0 ; 0 ; -5 ; -35
38000 ; -5 ; 0 ; 0 ; 0 ; -35
38125 ; -5 ; 0 ; -10 ; 0 ; -35
38250 ; -5 ; -5 ; -5 ; 0 ; -25
38375 ; -5 ; 0 ; 0 ; 0 ; -30
38500 ; -5 ; -5 ; 0 ; -5 ; -30
38625 ; 0 ; -5 ; -5 ; 0 ; -25
38750 ; 0 ; 5 ; 0 ; 0 ; -25
38875 ; -5 ; -5 ; 0 ; -5 ; -25
39000 ; 0 ; -5 ; -5 ; 0 ; -30
39125 ; 5 ; 0 ; 0 ; 0 ; -20
39250 ; -5 ; -5 ; 0 ; 0 ; -20
39375 ; -5 ; -5 ; -5 ; 0 ; -25
39500 ; 5 ; 0 ; 5 ; 0 ; -15
39625 ; 0 ; -5 ; 0 ; 0 ; -20
39750 ; 5 ; -5 ; -5 ; -5 ; -20
39875 ; 5 ; 0 ; 5 ; 0 ; -15
40000 ; 0 ; 0 ; 0 ; -5 ; -15
40125 ; 5 ; -5 ; -5 ; -5 ; -15
40250 ; 5 ; -5 ; -5 ; 5 ; -20
40375 ; 5 ; 5 ; 0 ; 0 ; -15
40500 ; -5 ; -5 ; 0 ; 0 ; -15
40625 ; 5 ; -5 ; -5 ; 5 ; -25
40750 ; 5 ; 0 ; 5 ; -5 ; -15
40875 ; -5 ; -5 ; -5 ; 0 ; -15
41000 ; 5 ; -5 ; 0 ; 0 ; -15
41125 ; 0 ; 0 ; 0 ; 0 ; -15
41250 ; 0 ; 0 ; -5 ; 0 ; -15
41375 ; 0 ; -5 ; -5 ; 0 ; -10
41500 ; 0 ; 0 ; -5 ; 5 ; -20
41625 ; 0 ; 5 ; -5 ; -5 ; -10
41750 ; 0 ; -5 ; -5 ; 0 ; -15
41875 ; 0 ; 0 ; 0 ; 0 ; -20
